_id,recipe_text,category
68d543c61adf687315c6cc1e,бързи и лесни масленки с бадеми масло брашно пудра захар нишесте лимоникората ванилена захарили 2 ванилии бадеми,десерт
68e52e7ec8f296d70cd8b283,Салата от ряпа с печени орехи в ракия орех ракия червен пипер ряпа репичка мед оцет сол черен пипер,салата
68d543c41adf687315c6cc06,хрупкаво пиле с марината от водка пилешко месобез кост олио водка вода лимонов сок горчица чесън солна вкус черен пиперна вкус орехисмлени галета кашкавалнастърган яйца брашно шарена сол,вечеря
68d3c5ab9e434f308c59276f,"Салата с варени яйца, червено цвекло и майонеза яйца червено цвекло кисели краставички шунка майонеза горчица черен пипер лимонов сок",салата
68e52e7ec8f296d70cd8b264,Чукано червено цвекло и телешко месо в глинен съд телешки стек червен пипер телешки бульон червено цвекло люта чушка чесън лук олио сол черен пипер,вечеря
68d6c5d9c55ae9b87e6e2198,кюфтетата по чирпански на баба янка картофи кайма червена чушка зелена чушка морков лук домати брашно червен пипер чубрица магданоз сол копър черен пипер олио яйцa чубрица магданоз сол черен пипер лук чесън галета брашно,вечеря
68d3c5269e434f308c592707,Сладко от бели череши бели череши захар лимонтозу,десерт
68d543dc1adf687315c6cd98,пастет от печени чушки чушкипечени чесън сирене олио магданоз черен пиперна вкус,
68d5439c1adf687315c6c93b,шоколадови бисквити с плодов топинг натурален шоколад брашно кафява захар масло яйца бакпулвер сол ягоди кафява захар лимонов сок,десерт
68d6c5f0c55ae9b87e6e530f,рулца от тиквички с крем сирене тиквички сирене крема сирене подправки чесън сол черен пипер,
68e52e7ec8f296d70cd8b34f,Хамбургер с шунка и кисели краставички и зеленчукови охлювчета пълнозърнест хляб шунка кашкавал краве масло кисела краставичка краставица морков лимон,
68e52e7ec8f296d70cd8b42c,Тригуни със сьомга и свеж сос пушена сьомга коктейлна скарида крем сирене краставица репичка див лук мед горчица оцет олио копър краве масло пълнозърнест хляб сол черен пипер,
68d3c2939e434f308c5924f2,Мусака от тиквички с кайма тиквички кайма лук домати магданоз брашно черен пипер олио За заливката яйца прясно мляко брашно,
68e52e7ec8f296d70cd8b194,Постна яхния с нахут нахут червена чушка доматено пюре морков лук чесън люта чушка мента кориандър червен пипер зеленчуков бульон олио сол черен пипер,
68d3c2949e434f308c5924f5,Топли сандвичи с тиквички тиквички яйца сирене краве масло копър хляб,
68d6c5ebc55ae9b87e6e5124,мини рулца от кайма кайма магданоз лук галета яйца черен пипер олио брашно кисели краставички яйца,
68d543be1adf687315c6cb99,"киш с бекон, лук и кашкавал бутер тесто бекон кашкавал готварска сметана лук яйца масло зехтин солна вкус черен пиперна вкус",
68d543de1adf687315c6cdbc,салата от моркови моркови копър лимони зехтинили олио солна вкус,
68d6c5d1c55ae9b87e6e1ecb,хот дог по балкански кайма сол черен пипер пушен червен пипер галета яйца питки горчица олио,
68e52e7ec8f296d70cd8b40b,Тортильони ала Вердуре тортелони броколи грах манголд лук чесън моцарела рукола резене/фенел маслиново масло зеленчуков бульон бяло вино сол черен пипер босилек,
68e52e7ec8f296d70cd8b2d7,Джуркана манджа с коприва и сини сливи коприва сушени сливи червена чушка лук доматено пюре краве масло чесън яйце сол черен пипер,
